Molecular/Biological/Cellular Ontology Terms: 

GO:0033189      response to vitamin A                                                                                                    ['Rbp1', 'Lipa']                        
GO:0055007      cardiac muscle cell differentiation                                                                                      ['Pitx2']                               
GO:0030346      protein phosphatase 2B binding                                                                                           ['Atp2b4']                              
GO:0055088      lipid homeostasis                                                                                                        ['Rbp1', 'Lipa']                        
R-MMU-416476    G alpha (q) signalling events                                                                                            ['Cck', 'Dgkb']                         
GO:0048842      positive regulation of axon extension involved in axon guidance                                                          ['Nrp1']                                
GO:0140672      ATAC complex                                                                                                             ['Mbip']                                
GO:0098794      postsynapse                                                                                                              ['Calb1', 'Sipa1l1']                    
GO:0005730      nucleolus                                                                                                                ['Mbip', 'Aatf']                        
GO:0051445      regulation of meiotic cell cycle                                                                                         ['Cdc25a']                              
GO:1990573      potassium ion import across plasma membrane                                                                              ['Kcnk9']                               
GO:0061982      meiosis I cell cycle process                                                                                             ['Cdc25a']                              
GO:0030018      Z disc                                                                                                                   ['Ryr3', 'Atp2b4']                      
R-MMU-194306    Neurophilin interactions with VEGF and VEGFR                                                                             ['Nrp1', 'Nrp2']                        
GO:0005179      hormone activity                                                                                                         ['Cck']                                 
GO:0042734      presynaptic membrane                                                                                                     ['Grm2']                                
GO:0008340      determination of adult lifespan                                                                                          ['Lipa']                                
GO:0016042      lipid catabolic process                                                                                                  ['Lipa']                                
GO:0043066      negative regulation of apoptotic process                                                                                 ['Aatf']                                
GO:0007412      axon target recognition                                                                                                  ['Foxb1']                               
GO:0003723      RNA binding                                                                                                              ['Ifit2', 'Dhx40']                      
GO:0002074      extraocular skeletal muscle development                                                                                  ['Pitx2']                               
R-MMU-114508    Effects of PIP2 hydrolysis                                                                                               ['Dgkb']                                
GO:0002376      immune system process                                                                                                    ['Ifit2']                               
GO:0021891      olfactory bulb interneuron development                                                                                   ['Sall3']                               
GO:0016581      NuRD complex                                                                                                             ['Cdk2ap1']                             
GO:0048738      cardiac muscle tissue development                                                                                        ['Pitx2']                               
GO:0015431      ABC-type glutathione S-conjugate transporter activity                                                                    ['Rbp1']                                
GO:0005790      smooth endoplasmic reticulum                                                                                             ['Ryr3']                                
R-MMU-9006934   Signaling by Receptor Tyrosine Kinases                                                                                   ['Shb', 'Nrp1', 'Nrp2']                 
GO:0016831      carboxy-lyase activity                                                                                                   ['Amd2']                                
GO:0021649      vestibulocochlear nerve structural organization                                                                          ['Nrp1', 'Nrp2']                        
GO:0007613      memory                                                                                                                   ['Cck', 'Csmd1']                        
GO:0030308      negative regulation of cell growth                                                                                       ['Slit2']                               
GO:0055009      atrial cardiac muscle tissue morphogenesis                                                                               ['Pitx2']                               
GO:0001701      in utero embryonic development                                                                                           ['Pitx2', 'Slit2', 'Cdk2ap1']           
GO:0007186      G protein-coupled receptor signaling pathway                                                                             ['Cartpt', 'Grm2']                      
GO:0030317      flagellated sperm motility                                                                                               ['Atp2b4']                              
R-MMU-6806667   Metabolism of fat-soluble vitamins                                                                                       ['Rbp1']                                
GO:0045779      negative regulation of bone resorption                                                                                   ['Cartpt']                              
GO:0005515      protein binding                                                                                                          ['Pitx2', 'Unc5b', 'Cck', 'Rbp1', 'Shb', 'Itga6', 'Fblim1', 'Mbip', 'Mafb', 'Slit2', 'Sipa1l1', 'Rph3a', 'Nrp1', 'Atp2b4', 'Nrp2', 'Rps6ka2', 'Aatf', 'Stxbp5', 'Arl6ip6']
GO:0036094      small molecule binding                                                                                                   ['Grm2']                                
GO:0048771      tissue remodeling                                                                                                        ['Lipa']                                
R-MMU-112310    Neurotransmitter release cycle                                                                                           ['Rbp1']                                
R-MMU-8957322   Metabolism of steroids                                                                                                   ['Rbp1']                                
GO:0009925      basal plasma membrane                                                                                                    ['Itga6']                               
GO:0051301      cell division                                                                                                            ['Cdc25a']                              
GO:0005764      lysosome                                                                                                                 ['Lipa']                                
GO:0071504      cellular response to heparin                                                                                             ['Slit2']                               
GO:0003700      DNA-binding transcription factor activity                                                                                ['Foxb1', 'Pitx2', 'Onecut2', 'Mafb']   
GO:0008542      visual learning                                                                                                          ['Foxb1', 'Tanc1', 'Cck']               
GO:0005829      cytosol                                                                                                                  ['Unc5b', 'Rbp1', 'Ifit2', 'Dgkb', 'Calb1', 'Lipa', 'Shb', 'Amd2', 'Mbip', 'As3mt', 'Nrp1', 'Aatf', 'Cdk2ap1', 'Stxbp5']
GO:0048844      artery morphogenesis                                                                                                     ['Nrp1']                                
GO:0030947      regulation of vascular endothelial growth factor receptor signaling pathway                                              ['Nrp1']                                
GO:0006874      intracellular calcium ion homeostasis                                                                                    ['Ryr3', 'Atp2b4']                      
GO:0014808      release of sequestered calcium ion into cytosol by sarcoplasmic reticulum                                                ['Ryr3']                                
GO:0090630      activation of GTPase activity                                                                                            ['Sipa1l1']                             
GO:0099538      synaptic signaling via neuropeptide                                                                                      ['Cck']                                 
GO:0006597      spermine biosynthetic process                                                                                            ['Amd2']                                
GO:0060385      axonogenesis involved in innervation                                                                                     ['Nrp1']                                
GO:0003674      molecular_function                                                                                                       ['Tanc1', 'Rprm', 'Tmem196', 'Csmd1', 'Gse1']
GO:0048012      hepatocyte growth factor receptor signaling pathway                                                                      ['Nrp1']                                
GO:0060577      pulmonary vein morphogenesis                                                                                             ['Pitx2']                               
GO:0071526      semaphorin-plexin signaling pathway                                                                                      ['Nrp1']                                
GO:0045921      positive regulation of exocytosis                                                                                        ['Stxbp5']                              
GO:0005912      adherens junction                                                                                                        ['Itga6', 'Frmd5']                      
GO:1904835      dorsal root ganglion morphogenesis                                                                                       ['Nrp1', 'Nrp2']                        
GO:0045860      positive regulation of protein kinase activity                                                                           ['Cartpt']                              
R-MMU-212676    Dopamine Neurotransmitter Release Cycle                                                                                  ['Rbp1']                                
GO:0000981      DNA-binding transcription factor activity, RNA polymerase II-specific                                                    ['Sall3', 'Foxb1', 'Pitx2', 'Onecut2', 'Mafb']
GO:0097534      lymphoid lineage cell migration                                                                                          ['Itga6']                               
GO:0007585      respiratory gaseous exchange by respiratory system                                                                       ['Mafb']                                
GO:0043116      negative regulation of vascular permeability                                                                             ['Slit2']                               
GO:0060041      retina development in camera-type eye                                                                                    ['Calb1']                               
GO:0001657      ureteric bud development                                                                                                 ['Slit2']                               
GO:0099175      regulation of postsynapse organization                                                                                   ['Tanc1', 'Dgkb', 'Nrp2']               
R-MMU-2453902   The canonical retinoid cycle in rods (twilight vision)                                                                   ['Rbp1']                                
GO:1901355      response to rapamycin                                                                                                    ['Lipa']                                
R-MMU-8964038   LDL clearance                                                                                                            ['Lipa']                                
R-MMU-3000157   Laminin interactions                                                                                                     ['Itga6']                               
GO:0000978      RNA polymerase II cis-regulatory region sequence-specific DNA binding                                                    ['Sall3', 'Foxb1', 'Pitx2', 'Onecut2', 'Mafb']
GO:0043195      terminal bouton                                                                                                          ['Cck', 'Calb1']                        
GO:0060249      anatomical structure homeostasis                                                                                         ['Calb1']                               
GO:0002042      cell migration involved in sprouting angiogenesis                                                                        ['Slit2', 'Nrp1']                       
GO:0030099      myeloid cell differentiation                                                                                             ['Lipa']                                
GO:0071425      hematopoietic stem cell proliferation                                                                                    ['Shb']                                 
R-MMU-210991    Basigin interactions                                                                                                     ['Itga6']                               
GO:0031406      carboxylic acid binding                                                                                                  ['Grm2']                                
GO:0010878      cholesterol storage                                                                                                      ['Lipa']                                
R-MMU-196108    Pregnenolone biosynthesis                                                                                                ['Rbp1']                                
GO:0010628      positive regulation of gene expression                                                                                   ['Mbip', 'Rps6ka2']                     
GO:0006096      glycolytic process                                                                                                       ['Lipa']                                
GO:0043679      axon terminus                                                                                                            ['Tanc1']                               
GO:0021599      abducens nerve formation                                                                                                 ['Mafb']                                
R-MMU-69615     G1/S DNA Damage Checkpoints                                                                                              ['Cdc25a']                              
GO:0001570      vasculogenesis                                                                                                           ['Pitx2', 'Nrp1']                       
GO:0051496      positive regulation of stress fiber assembly                                                                             ['Nrp1']                                
GO:0098982      GABA-ergic synapse                                                                                                       ['Cck', 'Calb1']                        
GO:0005856      cytoskeleton                                                                                                             ['Rbp1', 'Fblim1', 'Sipa1l1', 'Frmd5']  
GO:0003171      atrioventricular valve development                                                                                       ['Pitx2']                               
GO:0072221      metanephric distal convoluted tubule development                                                                         ['Calb1']                               
GO:0003184      pulmonary valve morphogenesis                                                                                            ['Slit2']                               
GO:0016604      nuclear body                                                                                                             ['Rbp1']                                
GO:0071830      triglyceride-rich lipoprotein particle clearance                                                                         ['Lipa']                                
GO:0035878      nail development                                                                                                         ['Itga6']                               
GO:0001889      liver development                                                                                                        ['Onecut2', 'Lipa']                     
GO:0070231      T cell apoptotic process                                                                                                 ['Lipa']                                
GO:0050900      leukocyte migration                                                                                                      ['Itga6']                               
GO:0003677      DNA binding                                                                                                              ['Sall3', 'Foxb1', 'Onecut2', 'Mafb']   
R-MMU-9675108   Nervous system development                                                                                               ['Slit2', 'Nrp1']                       
GO:0005546      phosphatidylinositol-4,5-bisphosphate binding                                                                            ['Rph3a']                               
GO:0009409      response to cold                                                                                                         ['Lipa']                                
GO:0005544      calcium-dependent phospholipid binding                                                                                   ['Rph3a']                               
GO:0030335      positive regulation of cell migration                                                                                    ['Itga6']                               
GO:0048872      homeostasis of number of cells                                                                                           ['Lipa']                                
GO:0005654      nucleoplasm                                                                                                              ['Pitx2', 'Rbp1', 'Onecut2', 'Lipa', 'Shb', 'Mbip', 'Mafb', 'Rps6ka2', 'Aatf', 'Cdk2ap1']
GO:0008559      ABC-type xenobiotic transporter activity                                                                                 ['Rbp1']                                
GO:0016301      kinase activity                                                                                                          ['Dgkb', 'Rps6ka2']                     
GO:0008092      cytoskeletal protein binding                                                                                             ['Fblim1', 'Frmd5']                     
GO:0071704      organic substance metabolic process                                                                                      ['Lipa']                                
GO:0016525      negative regulation of angiogenesis                                                                                      ['Atp2b4']                              
GO:0042755      eating behavior                                                                                                          ['Cck']                                 
R-MMU-975634    Retinoid metabolism and transport                                                                                        ['Rbp1']                                
GO:0016323      basolateral plasma membrane                                                                                              ['Itga6', 'Atp2b4']                     
GO:0031290      retinal ganglion cell axon guidance                                                                                      ['Slit2', 'Nrp1']                       
GO:0007005      mitochondrion organization                                                                                               ['Lipa']                                
GO:0050673      epithelial cell proliferation                                                                                            ['Lipa']                                
GO:0017157      regulation of exocytosis                                                                                                 ['Stxbp5']                              
GO:0010629      negative regulation of gene expression                                                                                   ['Slit2', 'Atp2b4']                     
GO:0000086      G2/M transition of mitotic cell cycle                                                                                    ['Cdc25a']                              
GO:0097062      dendritic spine maintenance                                                                                              ['Tanc1']                               
GO:0034644      cellular response to UV                                                                                                  ['Cdc25a']                              
GO:0006813      potassium ion transport                                                                                                  ['Kcnk9']                               
GO:0043589      skin morphogenesis                                                                                                       ['Itga6']                               
GO:0006897      endocytosis                                                                                                              ['Rbp1', 'Lipa']                        
GO:0060745      mammary gland branching involved in pregnancy                                                                            ['Csmd1']                               
R-MMU-382551    Transport of small molecules                                                                                             ['Lipa', 'Ryr3', 'Atp2b4']              
GO:0001569      branching involved in blood vessel morphogenesis                                                                         ['Pitx2', 'Nrp1']                       
R-MMU-556833    Metabolism of lipids                                                                                                     ['Rbp1']                                
GO:0005178      integrin binding                                                                                                         ['Itga6', 'Frmd5']                      
GO:0042803      protein homodimerization activity                                                                                        ['Pitx2', 'Slit2']                      
GO:0008284      positive regulation of cell population proliferation                                                                     ['Cck']                                 
GO:0090259      regulation of retinal ganglion cell axon guidance                                                                        ['Nrp1']                                
GO:0036126      sperm flagellum                                                                                                          ['Atp2b4']                              
GO:2000378      negative regulation of reactive oxygen species metabolic process                                                         ['Aatf']                                
GO:0004930      G protein-coupled receptor activity                                                                                      ['Grm2']                                
GO:0001568      blood vessel development                                                                                                 ['Shb']                                 
GO:0090141      positive regulation of mitochondrial fission                                                                             ['Rbp1']                                
GO:0046850      regulation of bone remodeling                                                                                            ['Cartpt']                              
GO:0005622      intracellular anatomical structure                                                                                       ['Calb1', 'Dhx40']                      
GO:0016020      membrane                                                                                                                 ['Sall3', 'Pitx2', 'Unc5b', 'Rbp1', 'Grm2', 'Onecut2', 'Dgkb', 'Rprm', 'Ryr3', 'Shb', 'Itga6', 'Kcnk9', 'Mafb', 'Cdc25a', 'Rph3a', 'Nrp1', 'Atp2b4', 'Nrp2', 'Csmd1', 'Aatf', 'Cdk2ap1', 'Stxbp5', 'Arl6ip6']
R-MMU-69656     Cyclin A:Cdk2-associated events at S phase entry                                                                         ['Cdc25a']                              
GO:0006695      cholesterol biosynthetic process                                                                                         ['Lipa']                                
R-MMU-983712    Ion channel transport                                                                                                    ['Ryr3', 'Atp2b4']                      
GO:0035767      endothelial cell chemotaxis                                                                                              ['Nrp1']                                
GO:1905145      cellular response to acetylcholine                                                                                       ['Atp2b4']                              
GO:0099523      presynaptic cytosol                                                                                                      ['Calb1', 'Stxbp5']                     
GO:0010751      negative regulation of nitric oxide mediated signal transduction                                                         ['Atp2b4']                              
GO:0030792      methylarsonite methyltransferase activity                                                                                ['As3mt']                               
GO:0098588      bounding membrane of organelle                                                                                           ['Ryr3']                                
GO:0042802      identical protein binding                                                                                                ['Pitx2', 'Amd2', 'Mbip', 'Mafb', 'Slit2', 'Nrp2']
GO:0007264      small GTPase mediated signal transduction                                                                                ['Rbp1', 'Lipa']                        
R-MMU-373076    Class A/1 (Rhodopsin-like receptors)                                                                                     ['Cck']                                 
GO:0009615      response to virus                                                                                                        ['Ifit2']                               
GO:0005246      calcium channel regulator activity                                                                                       ['Grm2']                                
R-MMU-69275     G2/M Transition                                                                                                          ['Cdc25a']                              
GO:0021636      trigeminal nerve morphogenesis                                                                                           ['Nrp1']                                
GO:0045499      chemorepellent activity                                                                                                  ['Slit2']                               
GO:0030512      negative regulation of transforming growth factor beta receptor signaling pathway                                        ['Onecut2']                             
GO:0016787      hydrolase activity                                                                                                       ['Lipa', 'Cdc25a', 'Dhx40']             
GO:0033028      myeloid cell apoptotic process                                                                                           ['Lipa']                                
GO:0034704      calcium channel complex                                                                                                  ['Ryr3']                                
GO:0006776      vitamin A metabolic process                                                                                              ['Rbp1', 'Lipa']                        
GO:0006654      phosphatidic acid biosynthetic process                                                                                   ['Dgkb']                                
GO:0046486      glycerolipid metabolic process                                                                                           ['Dgkb']                                
GO:0030097      hemopoiesis                                                                                                              ['Lipa', 'Shb']                         
GO:0060612      adipose tissue development                                                                                               ['Lipa']                                
GO:0045879      negative regulation of smoothened signaling pathway                                                                      ['Sall3']                               
GO:0048843      negative regulation of axon extension involved in axon guidance                                                          ['Nrp1']                                
GO:0030141      secretory granule                                                                                                        ['Cartpt', 'Rph3a', 'Stxbp5']           
GO:0048814      regulation of dendrite morphogenesis                                                                                     ['Sipa1l1']                             
GO:0031410      cytoplasmic vesicle                                                                                                      ['Rph3a']                               
R-MMU-162582    Signal Transduction                                                                                                      ['Cck', 'Rbp1', 'Grm2', 'Dgkb', 'Shb', 'Nrp1', 'Nrp2']
R-MMU-8964043   Plasma lipoprotein clearance                                                                                             ['Lipa']                                
GO:0004771      sterol esterase activity                                                                                                 ['Lipa']                                
GO:0140962      multicellular organismal-level chemical homeostasis                                                                      ['Lipa']                                
GO:0006935      chemotaxis                                                                                                               ['Slit2']                               
GO:0030424      axon                                                                                                                     ['Cck', 'Grm2', 'Calb1', 'Nrp1', 'Nrp2']
GO:0005634      nucleus                                                                                                                  ['Sall3', 'Foxb1', 'Pitx2', 'Rbp1', 'Onecut2', 'Calb1', 'Mbip', 'Mafb', 'Cdc25a', 'Rps6ka2', 'Aatf', 'Cdk2ap1', 'Arl6ip6']
GO:0051599      response to hydrostatic pressure                                                                                         ['Atp2b4']                              
GO:0071672      negative regulation of smooth muscle cell chemotaxis                                                                     ['Slit2']                               
GO:0022029      telencephalon cell migration                                                                                             ['Foxb1', 'Slit2']                      
R-MMU-4420097   VEGFA-VEGFR2 Pathway                                                                                                     ['Shb']                                 
GO:0021612      facial nerve structural organization                                                                                     ['Nrp1', 'Nrp2']                        
R-MMU-211859    Biological oxidations                                                                                                    ['As3mt']                               
GO:0048495      Roundabout binding                                                                                                       ['Slit2']                               
GO:0006366      transcription by RNA polymerase II                                                                                       ['Sall3', 'Foxb1', 'Pitx2', 'Onecut2', 'Mafb']
GO:0043025      neuronal cell body                                                                                                       ['Tanc1', 'Cck', 'Calb1', 'Sipa1l1', 'Nrp1']
R-MMU-399955    SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion                                                        ['Nrp1']                                
GO:0038023      signaling receptor activity                                                                                              ['Cck']                                 
GO:0001558      regulation of cell growth                                                                                                ['Slit2']                               
GO:0072576      liver morphogenesis                                                                                                      ['Lipa']                                
GO:0140374      antiviral innate immune response                                                                                         ['Ifit2']                               
GO:0061551      trigeminal ganglion development                                                                                          ['Nrp1', 'Nrp2']                        
GO:0099171      presynaptic modulation of chemical synaptic transmission                                                                 ['Grm2']                                
GO:1900082      negative regulation of arginine catabolic process                                                                        ['Atp2b4']                              
GO:0008201      heparin binding                                                                                                          ['Slit2', 'Nrp1', 'Nrp2']               
GO:1903575      cornified envelope assembly                                                                                              ['Mafb']                                
GO:1900194      negative regulation of oocyte maturation                                                                                 ['Shb']                                 
GO:0005637      nuclear inner membrane                                                                                                   ['Arl6ip6']                             
GO:0043204      perikaryon                                                                                                               ['Cck']                                 
GO:0007215      glutamate receptor signaling pathway                                                                                     ['Grm2']                                
GO:0043203      axon hillock                                                                                                             ['Cck']                                 
GO:0009314      response to radiation                                                                                                    ['Cdc25a']                              


Protein Ontology Terms: 

PC00165        non-motor actin binding protein                                                                                          ['Frmd5']                               
PC00137        kinase                                                                                                                   ['Dgkb']                                
PC00195        protein phosphatase                                                                                                      ['Cdc25a']                              
PC00155        methyltransferase                                                                                                        ['As3mt']                               
PC00140        kinase modulator                                                                                                         ['Fblim1']                              
PC00219        transfer/carrier protein                                                                                                 ['Rbp1']                                
PC00032        RNA helicase                                                                                                             ['Dhx40']                               
PC00090        defense/immunity protein                                                                                                 ['Ifit2']                               
PC00068        primary active transporter                                                                                               ['Atp2b4']                              
PC00151        membrane trafficking regulatory protein                                                                                  ['Stxbp5']                              
PC00246        winged helix/forkhead transcription factor                                                                               ['Foxb1']                               
PC00226        scaffold/adaptor protein                                                                                                 ['Tanc1', 'Rbp1']                       
PC00119        homeodomain transcription factor                                                                                         ['Pitx2', 'Onecut2']                    
PC00260        protein modifying enzyme                                                                                                 ['Rps6ka2']                             
PC00056        basic leucine zipper transcription factor                                                                                ['Mafb']                                
PC00143        lipase                                                                                                                   ['Lipa']                                
PC00257        GTPase-activating protein                                                                                                ['Rbp1', 'Sipa1l1']                     
PC00139        kinase inhibitor                                                                                                         ['Cdk2ap1']                             
PC00021        G-protein coupled receptor                                                                                               ['Grm2']                                
PC00248        C2H2 zinc finger transcription factor                                                                                    ['Sall3']                               
PC00089        decarboxylase                                                                                                            ['Amd2']                                
PC00077        chromatin/chromatin-binding, or -regulatory protein                                                                      ['Aatf']                                
PC00133        ion channel                                                                                                              ['Kcnk9']                               
PC00061        calmodulin-related                                                                                                       ['Calb1']                               
PC00197        transmembrane signal receptor                                                                                            ['Unc5b']                               
PC00126        integrin                                                                                                                 ['Itga6']                               
PC00207        intercellular signal molecule                                                                                            ['Nxph4']                               


Pathway Ontology Terms: 

P04376          5HT4 type receptor mediated signaling pathway                                                                            ['Kcnk9']                               
P00026          Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway                                        ['Grm2']                                
P00040          Metabotropic glutamate receptor group II pathway                                                                         ['Grm2']                                
P06959          CCKR signaling map                                                                                                       ['Cck', 'Ryr3']                         
P04377          Beta1 adrenergic receptor signaling pathway                                                                              ['Ryr3']                                
P02727          Androgen/estrogene/progesterone biosynthesis                                                                             ['Lipa']                                
P04375          5HT3 type receptor mediated signaling pathway                                                                            ['Kcnk9']                               
P00027          Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway                                        ['Grm2']                                
P04374          5HT2 type receptor mediated signaling pathway                                                                            ['Kcnk9']                               
P05912          Dopamine receptor mediated signaling pathway                                                                             ['Kcnk9']                               
P04378          Beta2 adrenergic receptor signaling pathway                                                                              ['Ryr3']                                
P00008          Axon guidance mediated by Slit/Robo                                                                                      ['Slit2']                               
P00036          Interleukin signaling pathway                                                                                            ['Rps6ka2']                             
P06587          Nicotine pharmacodynamics pathway                                                                                        ['Kcnk9']                               
P00037          Ionotropic glutamate receptor pathway                                                                                    ['Grm2']                                
P00009          Axon guidance mediated by netrin                                                                                         ['Unc5b']                               
P04373          5HT1 type receptor mediated signaling pathway                                                                            ['Kcnk9']                               
P00032          Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade                                           ['Rps6ka2']                             
P00034          Integrin signalling pathway                                                                                              ['Itga6']                               
P00059          p53 pathway                                                                                                              ['Cdc25a']                              
P05917          Opioid proopiomelanocortin pathway                                                                                       ['Kcnk9']                               
P06664          Gonadotropin-releasing hormone receptor pathway                                                                          ['Pitx2']                               
P05915          Opioid proenkephalin pathway                                                                                             ['Kcnk9']                               
P04393          Ras Pathway                                                                                                              ['Rps6ka2']                             
P00007          Axon guidance mediated by semaphorins                                                                                    ['Nrp1']                                
P00047          PDGF signaling pathway                                                                                                   ['Rps6ka2']                             


