Molecular/Biological/Cellular Ontology Terms: 

GO:0006400      tRNA modification                                                                                                        ['Thumpd1']                             
GO:0009952      anterior/posterior pattern specification                                                                                 ['Emx2', 'Lhx1', 'Otx2', 'Wnt3', 'Yy1', 'Apc']
GO:0043491      protein kinase B signaling                                                                                               ['Igf1']                                
R-MMU-5218921   VEGFR2 mediated cell proliferation                                                                                       ['Prkca']                               
R-MMU-422085    Synthesis, secretion, and deacylation of Ghrelin                                                                         ['Igf1', 'Spcs2']                       
GO:0019233      sensory perception of pain                                                                                               ['Grm3', 'Tac1']                        
GO:0005049      nuclear export signal receptor activity                                                                                  ['Calr']                                
R-MMU-9648025   EML4 and NUDC in mitotic spindle formation                                                                               ['Tubb4a', 'Ppp1cc']                    
GO:0097477      lateral motor column neuron migration                                                                                    ['Lhx1', 'Reln']                        
GO:1904193      negative regulation of cholangiocyte apoptotic process                                                                   ['Igf1']                                
GO:0009566      fertilization                                                                                                            ['Ybx3']                                
GO:0097210      response to gonadotropin-releasing hormone                                                                               ['Tcf12']                               
GO:0044030      regulation of DNA methylation                                                                                            ['Mphosph8']                            
GO:0031514      motile cilium                                                                                                            ['Cd24a']                               
GO:0048661      positive regulation of smooth muscle cell proliferation                                                                  ['Igf1', 'Prkca', 'Hmgcr']              
GO:0042752      regulation of circadian rhythm                                                                                           ['Btrc', 'Ppp1cc']                      
GO:0050680      negative regulation of epithelial cell proliferation                                                                     ['Mcc', 'Zeb1', 'Mef2c', 'Apc']         
GO:0065003      protein-containing complex assembly                                                                                      ['Otx2', 'Apc']                         
R-MMU-399997    Acetylcholine regulates insulin secretion                                                                                ['Prkca']                               
GO:1904692      positive regulation of type B pancreatic cell proliferation                                                              ['Igf1']                                
GO:0019904      protein domain specific binding                                                                                          ['Gabrr1', 'Cabp1', 'Wnt3', 'Lin7c', 'Gria1', 'Fmr1', 'Ppp1cc', 'Dixdc1', 'Dlgap1']
GO:0048286      lung alveolus development                                                                                                ['Hopx', 'Igf1', 'Foxp2']               
GO:0043130      ubiquitin binding                                                                                                        ['Uchl3']                               
GO:0004890      GABA-A receptor activity                                                                                                 ['Gabrr1']                              
GO:0042104      positive regulation of activated T cell proliferation                                                                    ['Igf1', 'Cd24a']                       
R-MMU-420499    Class C/3 (Metabotropic glutamate/pheromone receptors)                                                                   ['Grm3']                                
GO:0004672      protein kinase activity                                                                                                  ['Prkca', 'Cdkl5', 'Sbk1', 'Tkt']       
GO:0043249      erythrocyte maturation                                                                                                   ['Tal1']                                
GO:0045773      positive regulation of axon extension                                                                                    ['Cdkl5']                               
GO:0030424      axon                                                                                                                     ['Adcy8', 'Cabp1', 'Grm3', 'Reln', 'Gad1', 'Prkca', 'Dcx', 'Tac1', 'Tmem108', 'Fmr1', 'Nrp2', 'Apc', 'Cadm1']
GO:0031800      type 3 metabotropic glutamate receptor binding                                                                           ['Cabp1']                               
GO:1902512      positive regulation of apoptotic DNA fragmentation                                                                       ['Casp3']                               
GO:0032456      endocytic recycling                                                                                                      ['Snx4']                                
GO:0098960      postsynaptic neurotransmitter receptor activity                                                                          ['Gria1']                               
GO:0000712      resolution of meiotic recombination intermediates                                                                        ['Top2b']                               
GO:0032470      positive regulation of endoplasmic reticulum calcium ion concentration                                                   ['Tmtc4']                               
GO:0098919      structural constituent of postsynaptic density                                                                           ['Magi2', 'Dlgap1']                     
GO:0036092      phosphatidylinositol-3-phosphate biosynthetic process                                                                    ['Pik3cb']                              
GO:0021953      central nervous system neuron differentiation                                                                            ['Tal1', 'Sox5', 'Spock1']              
GO:0048706      embryonic skeletal system development                                                                                    ['Fgf9']                                
GO:0021979      hypothalamus cell differentiation                                                                                        ['Pou3f2']                              
GO:0042593      glucose homeostasis                                                                                                      ['Adcy8', 'Ncoa5', 'Sesn3']             
GO:0003680      minor groove of adenine-thymine-rich DNA binding                                                                         ['Mef2c']                               
GO:0048846      axon extension involved in axon guidance                                                                                 ['Nrp2']                                
GO:0014896      muscle hypertrophy                                                                                                       ['Igf1']                                
GO:0071542      dopaminergic neuron differentiation                                                                                      ['Otx2']                                
GO:0033344      cholesterol efflux                                                                                                       ['Acat2']                               
GO:0005737      cytoplasm                                                                                                                ['Hopx', 'Rgs12', 'Mcc', 'Mc4r', 'Dok5', 'Pcbp3', 'Zfpm2', 'Idh1', 'Otx2', 'Pik3cb', 'Cabp1', 'Lypd6', 'Gcsh', 'Fgf9', 'Srsf4', 'Casp3', 'Ybx3', 'Nipsnap3b', 'Hdac9', 'Lin7c', 'Reln', 'Acat2', 'Gad1', 'Rcan2', 'Prkca', 'Pdrg1', 'Itpa', 'Ripor2', 'Btrc', 'Ppp1r14c', 'Snx4', 'Cdkl5', 'Carmil1', 'Col4a3bp', 'Meis2', 'Hnrnpab', 'Unc13c', 'Ube2e3', 'Dcx', 'Hmgcs1', 'Cdv3', 'Iqsec3', 'Tubb4a', 'Ablim1', 'Cnbp', 'Yy1', 'Bzw2', 'Gnai2', 'Faim', 'Sh3bgrl', 'Nexmif', 'Fmr1', 'Snx2', 'Anp32e', 'Zfand6', 'Fto', 'Cdc37', 'Uchl3', 'Tcf12', 'Bcl11a', 'Scarb2', 'Ppm1e', 'Ccni', 'Limch1', 'Fam172a', 'Ppfia2', 'Rybp', 'Ppp1cc', 'Sbk1', 'Elmo1', 'Srsf3', 'Commd4', 'Mef2c', 'Tln2', 'Hsph1', 'Sesn3', 'Flrt1', 'Calr', 'Spock1', 'Zmiz1', 'Trim2', 'Auts2', 'Magi2', 'Srgap2', 'Dixdc1', 'Mphosph8', 'Tsn', 'Cplx2', 'Exoc5', 'Phactr1', 'Sgip1', 'Cnot7', 'Stox2', 'Rbfox2', 'Epb41l3', 'Apc', 'Agfg1', 'Dock4', 'Ahcyl1', 'Dpysl3']
GO:0000307      cyclin-dependent protein kinase holoenzyme complex                                                                       ['Ccni']                                
R-MMU-5620924   Intraflagellar transport                                                                                                 ['Tubb4a']                              
GO:0005576      extracellular region                                                                                                     ['C1ql2', 'C1ql3', 'Cbln4', 'Igf1', 'Lypd6', 'Fgf9', 'Wnt3', 'Reln', 'Cxcl14', 'Adgrb1', 'Tac1', 'Hsph1', 'Flrt1', 'Calr', 'Spock1', 'Pdia3', 'Scg2', 'Itfg1']
GO:0051085      chaperone cofactor-dependent protein refolding                                                                           ['Hsph1']                               
GO:0002634      regulation of germinal center formation                                                                                  ['Mef2c']                               
GO:0017154      semaphorin receptor activity                                                                                             ['Nrp2']                                
GO:0007264      small GTPase mediated signal transduction                                                                                ['Rapgef5', 'Rhob', 'Dock4']            
GO:0003697      single-stranded DNA binding                                                                                              ['Ybx3', 'Cnbp', 'Tsn']                 
GO:0051259      protein complex oligomerization                                                                                          ['Adcy8']                               
R-MMU-75153     Apoptotic execution phase                                                                                                ['Casp3', 'Apc']                        
GO:0030548      acetylcholine receptor regulator activity                                                                                ['Lypd6', 'Lypd6b']                     
GO:0035418      protein localization to synapse                                                                                          ['Reln', 'Dlgap1']                      
GO:0006469      negative regulation of protein kinase activity                                                                           ['Prkca', 'Ppm1e']                      
GO:0010632      regulation of epithelial cell migration                                                                                  ['Apc']                                 
GO:0040007      growth                                                                                                                   ['Foxp2']                               
GO:0042562      hormone binding                                                                                                          ['Mc4r', 'Calr']                        
GO:0038024      cargo receptor activity                                                                                                  ['Scarb2']                              
R-MMU-72187     mRNA 3'-end processing                                                                                                   ['Srsf4', 'Srsf3']                      
GO:0001508      action potential                                                                                                         ['Kcnmb2', 'Cacng2']                    
GO:0002237      response to molecule of bacterial origin                                                                                 ['Cd24a']                               
GO:0031011      Ino80 complex                                                                                                            ['Yy1']                                 
GO:0001965      G-protein alpha-subunit binding                                                                                          ['Rgs12', 'Gria1']                      
GO:0019903      protein phosphatase binding                                                                                              ['Rcan2', 'Ppp1r14c', 'Fmr1', 'Ppp1cc'] 
GO:0008150      biological_process                                                                                                       ['Arl15', 'Ankrd29', 'Diras2', 'Nipsnap3b', 'Ccdc90b', 'Rtl5', 'Pdrg1', 'Msantd4', 'Cdv3', 'Rwdd4a', 'Klhl23', 'Sh3bgrl', 'Cnih1', 'Commd4', 'B3glct', 'Itfg1', 'Ralyl']
GO:0030133      transport vesicle                                                                                                        ['Nrsn2', 'Nrsn1']                      
GO:0055037      recycling endosome                                                                                                       ['St8sia2', 'Gria1']                    
GO:0140662      ATP-dependent protein folding chaperone                                                                                  ['Hsph1']                               
GO:0035553      oxidative single-stranded RNA demethylation                                                                              ['Fto']                                 
GO:0043113      receptor clustering                                                                                                      ['Magi2']                               
GO:0021871      forebrain regionalization                                                                                                ['Lhx1']                                
R-MMU-888568    GABA synthesis                                                                                                           ['Gad1']                                
GO:0045807      positive regulation of endocytosis                                                                                       ['Dcx']                                 
GO:0019902      phosphatase binding                                                                                                      ['Adcy8', 'Anp32e', 'Magi2']            
GO:0008066      glutamate receptor activity                                                                                              ['Grm3', 'Gria1']                       
GO:0051129      negative regulation of cellular component organization                                                                   ['Bcl11a']                              
GO:0051087      protein-folding chaperone binding                                                                                        ['Cdc37', 'Scarb2']                     
R-MMU-8856828   Clathrin-mediated endocytosis                                                                                            ['Scarb2', 'Sgip1', 'Agfg1']            
GO:0014834      skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration                                      ['Igf1']                                
GO:0050974      detection of mechanical stimulus involved in sensory perception                                                          ['Igf1']                                
GO:0004526      ribonuclease P activity                                                                                                  ['Rpp25']                               
GO:0006974      cellular response to DNA damage stimulus                                                                                 ['Fmr1']                                
GO:0042393      histone binding                                                                                                          ['Anp32e', 'Yeats4']                    
GO:0044336      canonical Wnt signaling pathway involved in negative regulation of apoptotic process                                     ['Apc']                                 
GO:0050821      protein stabilization                                                                                                    ['Igf1', 'Cdc37', 'Calr']               
GO:0050998      nitric-oxide synthase binding                                                                                            ['Nos1ap']                              
GO:0097120      receptor localization to synapse                                                                                         ['Reln', 'Cacng2']                      
GO:0010494      cytoplasmic stress granule                                                                                               ['Fmr1']                                
GO:0002159      desmosome assembly                                                                                                       ['Prkca']                               
GO:0008294      calcium- and calmodulin-responsive adenylate cyclase activity                                                            ['Adcy8']                               
GO:0034107      negative regulation of erythrocyte clearance                                                                             ['Cd24a']                               
GO:0032421      stereocilium bundle                                                                                                      ['Dock4']                               
R-MMU-5654696   Downstream signaling of activated FGFR2                                                                                  ['Fgf9']                                
GO:0019887      protein kinase regulator activity                                                                                        ['Cdc37', 'Ccni', 'Apc']                
GO:0004532      RNA exonuclease activity                                                                                                 ['Cnot7']                               
GO:1900153      positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay                         ['Cnot7']                               
GO:0004843      cysteine-type deubiquitinase activity                                                                                    ['Uchl3']                               
R-MMU-111885    Opioid Signalling                                                                                                        ['Adcy8', 'Prkca', 'Gnai2']             
GO:0021649      vestibulocochlear nerve structural organization                                                                          ['Nrp2']                                
R-MMU-399710    Activation of AMPA receptors                                                                                             ['Gria1']                               
GO:0090330      regulation of platelet aggregation                                                                                       ['Prkca']                               
GO:0004772      sterol O-acyltransferase activity                                                                                        ['Acat2']                               
GO:0060612      adipose tissue development                                                                                               ['Fto']                                 
GO:0014911      positive regulation of smooth muscle cell migration                                                                      ['Igf1']                                
GO:0036484      trunk neural crest cell migration                                                                                        ['Nrp2']                                
GO:0030371      translation repressor activity                                                                                           ['Fmr1', 'Trim2']                       
GO:0048545      response to steroid hormone                                                                                              ['Idh1']                                
GO:0021612      facial nerve structural organization                                                                                     ['Nrp2']                                
GO:0005109      frizzled binding                                                                                                         ['Wnt3']                                
GO:0098982      GABA-ergic synapse                                                                                                       ['Gabrr1', 'Cbln4', 'Gad1', 'Iqsec3', 'Magi2']
GO:0003151      outflow tract morphogenesis                                                                                              ['Zfpm2', 'Mef2c', 'Sox11']             
GO:1901166      neural crest cell migration involved in autonomic nervous system development                                             ['Nrp2']                                
R-MMU-8853659   RET signaling                                                                                                            ['Dok5', 'Pik3cb', 'Prkca']             
GO:0046627      negative regulation of insulin receptor signaling pathway                                                                ['Ncoa5', 'Prkca']                      
GO:0008090      retrograde axonal transport                                                                                              ['Tmem108']                             
GO:0097191      extrinsic apoptotic signaling pathway                                                                                    ['Casp3', 'Pdia3']                      
GO:1901565      organonitrogen compound catabolic process                                                                                ['Gcsh']                                
GO:0050681      nuclear androgen receptor binding                                                                                        ['Foxp2', 'Calr']                       
GO:0060964      regulation of miRNA-mediated gene silencing                                                                              ['Fmr1']                                
GO:0043177      organic acid binding                                                                                                     ['Hmgcs1']                              
GO:0035847      uterine epithelium development                                                                                           ['Lhx1']                                
GO:0031901      early endosome membrane                                                                                                  ['Snx4', 'Gria1']                       
GO:0002842      positive regulation of T cell mediated immune response to tumor cell                                                     ['Cd24a']                               
GO:2000854      positive regulation of corticosterone secretion                                                                          ['Tac1']                                
GO:0003712      transcription coregulator activity                                                                                       ['Raly', 'Tcerg1', 'Bcl11a', 'Rybp']    
GO:0007605      sensory perception of sound                                                                                              ['Tmtc4', 'Casp3', 'Ripor2', 'Scarb2', 'Srrm4']
GO:0045309      protein phosphorylated amino acid binding                                                                                ['Btrc']                                
GO:0005813      centrosome                                                                                                               ['Cdkl5', 'Gnai2', 'Apc']               
GO:0035082      axoneme assembly                                                                                                         ['Dcx', 'Ablim1']                       
GO:2000491      positive regulation of hepatic stellate cell activation                                                                  ['Tkt']                                 
GO:0001708      cell fate specification                                                                                                  ['Apc']                                 
GO:0043539      protein serine/threonine kinase activator activity                                                                       ['Igf1']                                
GO:0106006      cytoskeletal protein-membrane anchor activity                                                                            ['Epb41l3']                             
GO:0030218      erythrocyte differentiation                                                                                              ['Tal1', 'Casp3']                       
GO:0008625      extrinsic apoptotic signaling pathway via death domain receptors                                                         ['Faim']                                
GO:0006950      response to stress                                                                                                       ['Rcan2']                               
GO:0045860      positive regulation of protein kinase activity                                                                           ['Reln', 'Tkt']                         
GO:0001682      tRNA 5'-leader removal                                                                                                   ['Rpp25']                               
GO:0060079      excitatory postsynaptic potential                                                                                        ['Mef2c']                               
GO:0043928      exonucleolytic catabolism of deadenylated mRNA                                                                           ['Cnot7']                               
GO:0051965      positive regulation of synapse assembly                                                                                  ['St8sia2', 'Prkca', 'Adgrb1', 'Flrt1'] 
GO:0010883      regulation of lipid storage                                                                                              ['Fto']                                 
GO:0097491      sympathetic neuron projection guidance                                                                                   ['Nrp2']                                
GO:0005884      actin filament                                                                                                           ['Ablim1', 'Fmr1']                      
GO:0006936      muscle contraction                                                                                                       ['Col4a3bp']                            
GO:0008037      cell recognition                                                                                                         ['Cadm1']                               
R-MMU-204998    Cell death signalling via NRAGE, NRIF and NADE                                                                           ['Casp3']                               
GO:0001502      cartilage condensation                                                                                                   ['Sox5']                                
GO:0033173      calcineurin-NFAT signaling cascade                                                                                       ['Rcan2']                               
R-MMU-112314    Neurotransmitter receptors and postsynaptic signal transmission                                                          ['Gabrr1', 'Adcy8', 'Prkca', 'Gnai2', 'Gria1']
GO:1904184      positive regulation of pyruvate dehydrogenase activity                                                                   ['Ppm1e']                               
R-MMU-6794362   Protein-protein interactions at synapses                                                                                 ['Gria1', 'Ppfia2', 'Epb41l3', 'Dlgap1', 'Nrxn2']
GO:0072160      nephron tubule epithelial cell differentiation                                                                           ['Mef2c']                               
GO:0006171      cAMP biosynthetic process                                                                                                ['Adcy8']                               
GO:0000079      regulation of cyclin-dependent protein serine/threonine kinase activity                                                  ['Ccni']                                
GO:1903361      protein localization to basolateral plasma membrane                                                                      ['Lin7c']                               
GO:0097386      glial cell projection                                                                                                    ['Fmr1']                                
GO:0005814      centriole                                                                                                                ['Magi2']                               
GO:0034622      cellular protein-containing complex assembly                                                                             ['Unc13c']                              
GO:0070161      anchoring junction                                                                                                       ['Pard3b', 'Lin7c', 'Frmd5', 'Nos1ap', 'Adgrb1', 'Tln2', 'Flrt1', 'Dixdc1', 'Epb41l3', 'Apc']
GO:0097001      ceramide binding                                                                                                         ['Col4a3bp']                            
GO:0009897      external side of plasma membrane                                                                                         ['Igsf21', 'Cd24a', 'Calr']             
R-MMU-6804115   TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain         ['Cnot7']                               
R-MMU-1614558   Degradation of cysteine and homocysteine                                                                                 ['Cdo1']                                
GO:0061029      eyelid development in camera-type eye                                                                                    ['Sox11']                               
GO:0030182      neuron differentiation                                                                                                   ['Emx2', 'Dok5', 'Lhx1', 'Wnt3', 'Casp3', 'Pou3f2', 'Ppp1cc', 'Mef2c', 'Sox11']
GO:0035739      CD4-positive, alpha-beta T cell proliferation                                                                            ['Cd24a']                               
GO:0006888      endoplasmic reticulum to Golgi vesicle-mediated transport                                                                ['Cnih1']                               
R-MMU-5654741   Signaling by FGFR3                                                                                                       ['Fgf9']                                
R-MMU-76002     Platelet activation, signaling and aggregation                                                                           ['Igf1', 'Pik3cb', 'Prkca', 'Gnai2', 'Rhob']
GO:0090190      positive regulation of branching involved in ureteric bud morphogenesis                                                  ['Lhx1']                                
GO:0030901      midbrain development                                                                                                     ['Otx2']                                
GO:0006814      sodium ion transport                                                                                                     ['Asic4', 'Nkain3']                     
GO:0097492      sympathetic neuron axon guidance                                                                                         ['Mef2c']                               
R-MMU-174824    Plasma lipoprotein assembly, remodeling, and clearance                                                                   ['Acat2']                               
GO:0001973      G protein-coupled adenosine receptor signaling pathway                                                                   ['Gnai2']                               
GO:2000020      positive regulation of male gonad development                                                                            ['Zfpm2']                               
GO:0038023      signaling receptor activity                                                                                              ['Fgf9', 'Wnt3', 'Gria1']               
GO:0003192      mitral valve formation                                                                                                   ['Zfpm2']                               
GO:0031253      cell projection membrane                                                                                                 ['Shisa8', 'Apc']                       
GO:0140030      modification-dependent protein binding                                                                                   ['Yeats4']                              
GO:1904706      negative regulation of vascular associated smooth muscle cell proliferation                                              ['Mef2c']                               
R-MMU-15869     Metabolism of nucleotides                                                                                                ['Itpa']                                
GO:0043303      mast cell degranulation                                                                                                  ['Cplx2']                               
GO:0046395      carboxylic acid catabolic process                                                                                        ['Gcsh']                                
GO:0017046      peptide hormone binding                                                                                                  ['Mc4r']                                
GO:1990416      cellular response to brain-derived neurotrophic factor stimulus                                                          ['Tmem108', 'Gria1']                    
GO:0035630      bone mineralization involved in bone maturation                                                                          ['Igf1']                                
GO:0032688      negative regulation of interferon-beta production                                                                        ['Yy1']                                 
GO:0060740      prostate gland epithelium morphogenesis                                                                                  ['Igf1']                                
GO:0003073      regulation of systemic arterial blood pressure                                                                           ['Ddah1']                               
GO:0030913      paranodal junction assembly                                                                                              ['Epb41l3']                             
GO:0000289      nuclear-transcribed mRNA poly(A) tail shortening                                                                         ['Cnot7']                               
GO:0007274      neuromuscular synaptic transmission                                                                                      ['Cd24a']                               
R-MMU-380095    Tachykinin receptors bind tachykinins                                                                                    ['Tac1']                                
GO:0097159      organic cyclic compound binding                                                                                          ['Tkt']                                 
GO:0036057      slit diaphragm                                                                                                           ['Magi2']                               
GO:0030296      protein tyrosine kinase activator activity                                                                               ['Cd24a']                               
GO:0061052      negative regulation of cell growth involved in cardiac muscle cell development                                           ['Yy1']                                 
R-MMU-69620     Cell Cycle Checkpoints                                                                                                   ['Ppp1cc']                              
GO:0007265      Ras protein signal transduction                                                                                          ['Dok5', 'Rapgef5']                     
GO:0120154      negative regulation of ERBB4 signaling pathway                                                                           ['Cadm1']                               
GO:0042886      amide transport                                                                                                          ['Col4a3bp']                            
R-MMU-9663891   Selective autophagy                                                                                                      ['Tubb4a']                              
GO:0008284      positive regulation of cell population proliferation                                                                     ['Igf1', 'Fgf9', 'Meis2', 'Cnbp', 'Pou3f2', 'Gnai2', 'Calr', 'Tkt', 'Cnot7', 'Hmgcr']
R-MMU-111997    CaM pathway                                                                                                              ['Adcy8', 'Prkca']                      
GO:0048027      mRNA 5'-UTR binding                                                                                                      ['Fmr1']                                
GO:0045663      positive regulation of myoblast differentiation                                                                          ['Ripor2', 'Mef2c']                     
GO:0043388      positive regulation of DNA binding                                                                                       ['Igf1']                                
GO:0032011      ARF protein signal transduction                                                                                          ['Psd3']                                
GO:0009725      response to hormone                                                                                                      ['Tac1']                                
R-MMU-512988    Interleukin-3, Interleukin-5 and GM-CSF signaling                                                                        ['Pik3cb']                              
R-MMU-5689896   Ovarian tumor domain proteases                                                                                           ['Apc']                                 
GO:0035329      hippo signaling                                                                                                          ['Fat4']                                
GO:1905931      negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching           ['Fgf9']                                
GO:0008139      nuclear localization sequence binding                                                                                    ['Cabp1']                               
GO:0071805      potassium ion transmembrane transport                                                                                    ['Kcnk12']                              
GO:0043277      apoptotic cell clearance                                                                                                 ['Adgrb1']                              
GO:0098978      glutamatergic synapse                                                                                                    ['C1ql2', 'Gabrr1', 'C1ql3', 'Igf1', 'Adcy8', 'Cabp1', 'Grm3', 'Lin7c', 'Rims4', 'Cdkl5', 'Neto2', 'Nos1ap', 'Adgrb1', 'Gria1', 'Fmr1', 'Ppfia2', 'Ppp1cc', 'Magi2', 'Cacng2', 'Cplx2', 'Nrp2', 'Dlgap1', 'Nrxn2', 'Cadm1']
GO:0001777      T cell homeostatic proliferation                                                                                         ['Cd24a']                               
GO:0030904      retromer complex                                                                                                         ['Snx2']                                
GO:0005790      smooth endoplasmic reticulum                                                                                             ['Calr', 'Pdia3']                       
GO:0034983      peptidyl-lysine deacetylation                                                                                            ['Hdac9']                               
GO:0004407      histone deacetylase activity                                                                                             ['Hdac9']                               
GO:0062023      collagen-containing extracellular matrix                                                                                 ['Fibcd1', 'Reln', 'Calr']              
R-MMU-111469    SMAC, XIAP-regulated apoptotic response                                                                                  ['Casp3']                               
GO:0051301      cell division                                                                                                            ['Pard3b', 'Klhl13', 'Gnai2', 'Ppp1cc', 'Apc']
GO:0004047      aminomethyltransferase activity                                                                                          ['Gcsh']                                
GO:0060770      negative regulation of epithelial cell proliferation involved in prostate gland development                              ['Apc']                                 
GO:1990984      tRNA demethylase activity                                                                                                ['Fto']                                 
GO:0042824      MHC class I peptide loading complex                                                                                      ['Calr', 'Pdia3']                       
GO:0045121      membrane raft                                                                                                            ['Adcy8', 'Cd24a']                      
GO:0090398      cellular senescence                                                                                                      ['Calr', 'Zmiz1']                       
GO:1903334      positive regulation of protein folding                                                                                   ['Pdia3']                               
R-MMU-9013149   RAC1 GTPase cycle                                                                                                        ['Srgap2', 'Ktn1', 'Dock4']             
GO:0003756      protein disulfide isomerase activity                                                                                     ['Pdia3']                               
GO:0006491      N-glycan processing                                                                                                      ['St8sia2']                             
GO:0048029      monosaccharide binding                                                                                                   ['Tkt']                                 
